p,q,model,auc_roc,auc_pr,accuracy,f1
0.4,1.4,Random Forest,0.9962323560928094,0.9947135124166429,0.9515115234959592,0.9537539252069654
0.4,1.6,Logistic Regression,0.7437291714838571,0.7711223053874418,0.6958994313079916,0.6825
0.4,1.6,Light GBM,0.9571611752114106,0.949909976074754,0.8988326848249028,0.9009668912979782
0.4,1.6,Random Forest,0.9971998554775677,0.996595493980395,0.9500149655791679,0.952394526795895
0.4,1.8,Logistic Regression,0.7458608146489055,0.7688230956752127,0.697395989224783,0.6843584139868872
0.4,1.8,Light GBM,0.955341565043919,0.9486606607894782,0.8916492068243042,0.8936857562408224
0.4,1.8,Random Forest,0.9968554366262594,0.995766594869329,0.9522598024543549,0.9544350807027567
0.4,2.0,Logistic Regression,0.7357436172767914,0.7557683664568955,0.6906614785992218,0.6767787333854574
0.4,2.0,Light GBM,0.9546218196800457,0.9458355874825075,0.8961388805746783,0.8983596953719977
0.4,2.0,Random Forest,0.9962998602167424,0.9950329191839377,0.9534570487877881,0.9555269555269555
0.6,0.2,Logistic Regression,0.7348771277125169,0.7621683947092093,0.6900628554325052,0.6768606646902793
0.6,0.2,Light GBM,0.9571373449566447,0.9490080988198496,0.8909009278659085,0.8931241753408591
0.6,0.2,Random Forest,0.9968666350542509,0.995929523894225,0.9488177192457348,0.9513097949886105
0.6,0.4,Logistic Regression,0.7371629508341531,0.7636332089116741,0.6942532175995211,0.6813289658399626
0.6,0.4,Light GBM,0.9558048216130735,0.949188307925727,0.8901526489075127,0.8917084685748008
0.6,0.4,Random Forest,0.9965137949850931,0.9954096453324616,0.9528584256210715,0.9549807060168642
0.6,0.6,Logistic Regression,0.7499454636556812,0.7744492642341969,0.697395989224783,0.6854387056627256
0.6,0.6,Light GBM,0.9600173118738007,0.9538977763546803,0.8980844058665071,0.900656455142232
0.6,0.6,Random Forest,0.9962295788826674,0.9950077466585304,0.9536067045794673,0.9556636155606407
0.6,0.8,Logistic Regression,0.7347373713311822,0.7642858829330916,0.6828793774319066,0.6705022547037787
0.6,0.8,Light GBM,0.9512900633839982,0.941710833014463,0.8888057467824004,0.8914536157779401
0.6,0.8,Random Forest,0.9974016063562636,0.9968475399761558,0.9518108350793175,0.9540262707024558
0.6,1.0,Logistic Regression,0.7459798763353118,0.7689322817422353,0.6938042502244837,0.6797119599248591
0.6,1.0,Light GBM,0.9570184624450863,0.9500318586285029,0.8956899131996409,0.8982630272952853
0.6,1.0,Random Forest,0.9970017776832532,0.9963084974529441,0.9531577372044299,0.9552537526804861
0.6,1.2,Logistic Regression,0.744368646515887,0.7688668859370404,0.6972463334331038,0.6826666666666666
0.6,1.2,Light GBM,0.957876709966359,0.9523530293114996,0.8961388805746783,0.897670303745208
0.6,1.2,Random Forest,0.9966354547067933,0.9956586141185051,0.9518108350793175,0.9540262707024558
0.6,1.4,Logistic Regression,0.7384341963797543,0.7640896060886814,0.6905118228075426,0.678082191780822
0.6,1.4,Light GBM,0.9529425930058559,0.9436756941218752,0.8904519604908709,0.8932633420822396
0.6,1.4,Random Forest,0.9965356543165327,0.9954729308303837,0.9554025740796169,0.9573065902578797
0.6,1.6,Logistic Regression,0.7463079454817523,0.7672612402716894,0.6972463334331038,0.6837580115679225
0.6,1.6,Light GBM,0.9606656560607998,0.9552955719679255,0.9013768332834481,0.9032447511378652
0.6,1.6,Random Forest,0.9969438594136807,0.9958015574728847,0.9534570487877881,0.9555269555269555
0.6,1.8,Logistic Regression,0.7428324909577173,0.7635497770666236,0.6905118228075426,0.6750471401634192
0.6,1.8,Light GBM,0.9556543147408672,0.9469347333407458,0.8910505836575876,0.8933801991798478
0.6,1.8,Random Forest,0.9967150979266692,0.9954880570555518,0.9539060161628256,0.955937052932761
0.6,2.0,Logistic Regression,0.7461749081572125,0.7738005514955443,0.6942532175995211,0.6835011618900078
0.6,2.0,Light GBM,0.9579437213594606,0.9523660778230985,0.8992816521999402,0.901794834379104
0.6,2.0,Random Forest,0.9965230224897581,0.9951471875322228,0.9530080814127506,0.9551172098341909
0.8,0.2,Logistic Regression,0.7433748532222043,0.7653127769849845,0.6893145764741095,0.6759288167343117
0.8,0.2,Light GBM,0.9572715469176953,0.9493837082872119,0.8979347500748279,0.900204858062628
0.8,0.2,Random Forest,0.9972079183457216,0.9965915121934107,0.9539060161628256,0.955937052932761
0.8,0.4,Logistic Regression,0.7356076235672618,0.7605922225293029,0.6870697395989225,0.672
0.8,0.4,Light GBM,0.9550435972719196,0.9465280296682737,0.8937443879078121,0.8953111176644057
0.8,0.4,Random Forest,0.9963564794686677,0.9949453943126099,0.9537563603711464,0.9558003146903162
0.8,0.6,Logistic Regression,0.7428415392875345,0.7645877454054413,0.6956001197246333,0.6820881525476712
0.8,0.6,Light GBM,0.9577926769627105,0.9499096935835158,0.899131996408261,0.901863715783343
0.8,0.6,Random Forest,0.9963134327114682,0.9950265622819727,0.9530080814127506,0.9551172098341909
0.8,0.8,Logistic Regression,0.7443866535880972,0.7690215892463479,0.6978449565998204,0.6854650257049384
0.8,0.8,Light GBM,0.9567710219801848,0.9489107530302585,0.8983837174498653,0.9002497429117085
0.8,0.8,Random Forest,0.9966008739611555,0.9952899081279446,0.9536067045794673,0.9556636155606407
0.8,1.0,Logistic Regression,0.7502795351595252,0.7739413627911826,0.7003891050583657,0.6871875
0.8,1.0,Light GBM,0.9573552215716483,0.9498994184230988,0.901227177491769,0.903282532239156
0.8,1.0,Random Forest,0.9969360653077987,0.9961249556459659,0.9542053277461838,0.9562106468231254
0.8,1.2,Logistic Regression,0.7446300626189217,0.7745802096052528,0.6932056270577671,0.6808841843088419
0.8,1.2,Light GBM,0.9600455319123395,0.9543076051887323,0.8989823406165819,0.9009247027741082
0.8,1.2,Random Forest,0.9969221792570891,0.9960332996667502,0.9555522298712961,0.9574437598509815
0.8,1.4,Logistic Regression,0.7370446954345622,0.7600974358651011,0.6891649206824304,0.6780344132692606
0.8,1.4,Light GBM,0.9559785316280784,0.9477094680383129,0.8920981741993416,0.894110735790865
0.8,1.4,Random Forest,0.9971888810181361,0.9965890048200173,0.9534570487877881,0.9555269555269555
0.8,1.6,Logistic Regression,0.7517388247079606,0.7728652185634004,0.7009877282250823,0.6887850467289719
0.8,1.6,Light GBM,0.958023946897592,0.9510825972761449,0.8959892247829991,0.8987913208096695
0.8,1.6,Random Forest,0.9967703733672356,0.9957246787160099,0.9539060161628256,0.955937052932761
0.8,1.8,Logistic Regression,0.7511829347424599,0.7763670508496796,0.7023346303501945,0.6894613583138174
